

RainbruRPG Client v0.0.3-107 using :
 - FOX-Toolkit v1.6.14
 - Ogre3D v1.2.4 (Dagon)
 - CEGUI v0.5.0

Copyright (C) 2006 Jerome PASQUIER
RainbruRPG comes with ABSOLUTELY NO WARRANTY. This is free software,
and you are welcome to redistribute it under certain conditions.
See the GNU General Public License for more details.
  [optionmanager.cpp:33]	II Initializing OptionManager
  [optionintattribute.cpp:32]	II Constructing an integer OptionAttribute
  [optionstringattribute.cpp:33]	II Constructing an string OptionAttribute
  [optionboolattribute.cpp:38]	II Constructing a bool OptionAttribute
  [optionlistattribute.cpp:50]	-- Attribute value :640x480
  [optionlistattribute.cpp:50]	-- Attribute value :none
  [optionlistattribute.cpp:50]	-- Attribute value :800x600
  [optionlistattribute.cpp:50]	-- Attribute value :none
  [globaluri.cpp:39]	WW Using the local website (127.0.0.1)
  [globaluri.cpp:128]	-- Setting user's HOME directory to'/home/mouse/.RainbruRPG/'
  [globaluri.cpp:136]	-- Boost path returns '/home/mouse/.RainbruRPG'
  [globaluri.cpp:140]	II Home directory alerady exists
  [globaluri.cpp:163]	II option.xml found in user directory
  [globaluri.cpp:103]	II GlobalURI::getUserDirFile called
  [globaluri.cpp:111]	-- returned value is '/home/mouse/.RainbruRPG/options.xml'
  [xmloptions.cpp:58]	II xmlOptions refresh function called
  [globaluri.cpp:39]	WW Using the local website (127.0.0.1)
  [globaluri.cpp:128]	-- Setting user's HOME directory to'/home/mouse/.RainbruRPG/'
  [globaluri.cpp:136]	-- Boost path returns '/home/mouse/.RainbruRPG'
  [globaluri.cpp:140]	II Home directory alerady exists
  [globaluri.cpp:163]	II option.xml found in user directory
  [globaluri.cpp:103]	II GlobalURI::getUserDirFile called
  [globaluri.cpp:111]	-- returned value is '/home/mouse/.RainbruRPG/options.xml'
  [xmloptions.cpp:58]	II xmlOptions refresh function called
  [xmllanguage.cpp:31]	II xmlLanguage creation
  [languageselector.cpp:163]	II Cancel button clicked
  [globaluri.cpp:39]	WW Using the local website (127.0.0.1)
  [globaluri.cpp:128]	-- Setting user's HOME directory to'/home/mouse/.RainbruRPG/'
  [globaluri.cpp:136]	-- Boost path returns '/home/mouse/.RainbruRPG'
  [globaluri.cpp:140]	II Home directory alerady exists
  [globaluri.cpp:163]	II option.xml found in user directory
  [globaluri.cpp:103]	II GlobalURI::getUserDirFile called
  [globaluri.cpp:111]	-- returned value is '/home/mouse/.RainbruRPG/options.xml'
  [xmloptions.cpp:58]	II xmlOptions refresh function called
  [guimanager.cpp:33]	II Initializing GuiManager...
  [velocitycalculator.cpp:35]	II Creating VelocityCalculator
  [vcconstant.cpp:34]	II Creation vcConstant
  [gameengine.cpp:481]	II Setting up Resources
  [globaluri.cpp:39]	WW Using the local website (127.0.0.1)
  [globaluri.cpp:128]	-- Setting user's HOME directory to'/home/mouse/.RainbruRPG/'
  [globaluri.cpp:136]	-- Boost path returns '/home/mouse/.RainbruRPG'
  [globaluri.cpp:140]	II Home directory alerady exists
  [globaluri.cpp:163]	II option.xml found in user directory
  [globaluri.cpp:177]	II GlobalURI::getShareFile called
  [globaluri.cpp:186]	-- Returned value : '/usr/local/share/RainbruRPG/config/resources.cfg'
  [globaluri.cpp:190]	WW The given file doesn't exist
