  [main.cpp:38]	II Starting RainbruRPG editor
  [mainwindow.cpp:54]	II Creating MainWindow
  [xmlaccountlist.cpp:29]	II Creation xmlAccountList
  [xmlaccountlist.cpp:40]	II xmlAccountList refresh function called
  [globaluri.cpp:39]	WW Using the local website (127.0.0.1)
  [globaluri.cpp:128]	-- Setting user's HOME directory to'/home/mouse/.RainbruRPG/'
  [globaluri.cpp:136]	-- Boost path returns '/home/mouse/.RainbruRPG'
  [globaluri.cpp:140]	II Home directory alerady exists
  [globaluri.cpp:217]	II options.xml found in user directory
  [globaluri.cpp:217]	II languages.xml found in user directory
  [globaluri.cpp:217]	II ogre.cfg found in user directory
  [globaluri.cpp:217]	II objects.xml found in user directory
  [globaluri.cpp:217]	II server.xml found in user directory
  [curlgetfile.cpp:64]	II Performing CurlGetFile writeToFile action, filename :
  [curlgetfile.cpp:66]	-- http://127.0.0.1/rpg/players.xml
  [curlgetfile.cpp:76]	II ==> Setting the licurl URL
  [curlinterface.cpp:116]	II Setting the default WriteFunction
  [curldefaultwritefunction.h:30]	II Using the default writedata Function.
  [curlgetfile.cpp:96]	II Getting the last HTTP server status code
  [curlgetfile.cpp:103]	II The CurlGetInfo was successfull
  [curlgetfile.cpp:107]	II HTTP server returns SUCCESS.
  [xmlaccountlist.cpp:89]	II xmlAccountList correctly loaded
  [ftptransfer.cpp:34]	II FtpTransfer created
  [ftptransfer.cpp:48]	-- Now listening in port 50001
  [xmlserverconf.cpp:35]	II xmlServerConf created
  [globaluri.cpp:39]	WW Using the local website (127.0.0.1)
  [globaluri.cpp:128]	-- Setting user's HOME directory to'/home/mouse/.RainbruRPG/'
  [globaluri.cpp:136]	-- Boost path returns '/home/mouse/.RainbruRPG'
  [globaluri.cpp:140]	II Home directory alerady exists
  [globaluri.cpp:217]	II options.xml found in user directory
  [globaluri.cpp:217]	II languages.xml found in user directory
  [globaluri.cpp:217]	II ogre.cfg found in user directory
  [globaluri.cpp:217]	II objects.xml found in user directory
  [globaluri.cpp:217]	II server.xml found in user directory
  [globaluri.cpp:103]	II GlobalURI::getUserDirFile called
  [globaluri.cpp:111]	-- returned value is '/home/mouse/.RainbruRPG/server.xml'
  [xmlserverconf.cpp:51]	II Server configuration file correctly loaded
  [xmlserverconf.cpp:91]	II Getting saved server configuration :
  [xmlserverconf.cpp:96]	--   name : 'Official development server'
  [xmlserverconf.cpp:101]	--   desc : 'This server is the official RainbruRPG development server. You shouldn't use it. You can be disconnected without advice.'
  [xmlserverconf.cpp:106]	--   technote : ''
  [xmlserverconf.cpp:111]	--   Playmode : 'true'
  [xmlserverconf.cpp:116]	--   Editmode : 'true'
  [xmlserverconf.cpp:121]	--   Floodmode : 'false'
  [xmlserverconf.cpp:126]	--   Port : '50000'
  [xmlserverconf.cpp:131]	--   MaxClient : '28'
  [xmlserverconf.cpp:137]	--   dbHostName : 'localhost'
  [xmlserverconf.cpp:142]	--   DbName : 'test'
  [xmlserverconf.cpp:147]	--  DbUserName  : 'rainbrurpg'
  [xmlserverconf.cpp:152]	--  DbUserPwd  : 'rainbrurpg'
  [mainwindow.cpp:102]	II Connection to database successfull
  [mainwindow.cpp:127]	II MainWindow created
  [main.cpp:46]	II Mainwin::show() ended
  [main.cpp:48]	II Entering Qt main loop
  [transfervisual.cpp:238]	-- height =20
  [transfervisual.cpp:238]	-- height =20
  [transfervisual.cpp:238]	-- height =20
  [transfervisual.cpp:238]	-- height =20
  [transfervisual.cpp:238]	-- height =20
  [transfervisual.cpp:238]	-- height =20
  [transfervisual.cpp:238]	-- height =20
  [transfervisual.cpp:238]	-- height =20
  [mainwindow.cpp:345]	II Exit requested
